0.0400142 16.376 3.08442 13
0.0882623 16.3129 3.07257 23
0.136005 16.234 3.05777 35
0.141852 12.5033 2.35515 8
0.228058 16.1307 3.03852 24
0.274966 16.2401 3.05925 29
0.249695 12.4387 2.3433 21
0.37232 16.2814 3.06739 16
0.459815 17.797 3.35318 15
0.506474 17.6896 3.33319 15
1.23592 22.5294 4.24978 1
1.2949 22.5261 4.24978 14
1.36007 22.4947 4.24459 21
1.42805 22.5102 4.2483 14
1.48571 22.4276 4.23349 23
1.55321 22.494 4.24682 0
1.71135 23.7005 4.47559 19
0.888026 11.838 2.23595 8
1.63293 21.0298 3.97288 16
1.69885 20.9773 3.96399 15
1.76431 21.0547 3.97954 16
1.97535 22.1333 4.18536 16
2.02859 21.9509 4.15205 41
1.99627 20.9234 3.95881 17
2.04605 20.8673 3.94918 41
2.10645 20.8099 3.93956 5
2.16941 20.8153 3.94178 12
2.40351 22.4902 4.26014 23
2.46556 22.4044 4.24534 51
2.60262 23.0576 4.37046 17
2.66745 23.0541 4.3712 19
2.71852 22.8661 4.33714 14
2.7307 22.4014 4.25052 43
2.78157 22.3317 4.23867 38
2.85378 22.3702 4.24756 35
3.03721 23.2581 4.41784 17
3.10423 23.2651 4.4208 26
3.12488 22.9014 4.35343 37
3.17979 22.7986 4.33566 22
3.24389 22.8213 4.34158 15
2.88352 19.8629 3.78038 26
2.9597 19.9947 3.80703 14
3.0102 19.9276 3.79592 12
1.94863 12.6458 2.40993 10
1.97053 12.5548 2.39365 27
2.01895 12.6188 2.40697 26
2.0466 12.5666 2.39809 8
3.33072 20.0758 3.83294 16
3.39158 20.0735 3.83442 20
3.53138 20.213 3.86478 40
3.62436 20.3883 3.90032 54
3.7388 20.6553 3.95363 65
3.84055 20.8844 3.99953 19
3.91257 20.947 4.0136 6
4.19099 22.0746 4.23201 21
4.25695 22.106 4.24015 17
4.35282 22.2276 4.26607 15
3.8896 19.5543 3.7552 27
3.96784 19.6429 3.77445 19
4.02635 19.6671 3.78112 42
4.11453 19.7814 3.80555 42
4.1509 19.6974 3.79148 43
4.20425 19.6781 3.79 50
4.31438 19.8876 3.83294 42
4.42068 20.0897 3.8744 47
4.52724 20.3036 3.91809 14
4.60197 20.0772 3.87959 19
4.59412 19.8047 3.82924 44
4.66455 19.8407 3.83887 56
4.73233 19.8489 3.84331 40
4.89196 20.2674 3.92697 38
4.94294 20.2307 3.92253 22
5.00295 20.216 3.92253 33
5.03993 20.1541 3.9129 15
5.10674 20.1373 3.9129 27
5.18015 20.1753 3.92327 27
5.28192 20.3358 3.95733 29
5.40906 20.343 3.96473 19
2.52969 9.41465 1.83614 17
2.57515 9.47159 1.84873 20
2.60802 9.47482 1.85095 23
5.62054 20.2122 3.9514 13
5.6443 20.0668 3.92623 19
5.62229 19.7503 3.86774 35
5.65859 19.6949 3.8596 27
5.71919 19.6856 3.86108 20
5.99694 20.4153 4.00767 30
6.0282 20.3118 3.99064 43
6.1707 20.581 4.04691 48
6.25777 20.6616 4.06616 28
6.36179 20.7696 4.09134 12
6.54407 21.1536 4.17056 19
6.60195 21.1314 4.16982 26
6.66356 21.0956 4.16685 21
6.72603 21.0881 4.16908 16
6.77767 21.0468 4.16463 12
6.72083 20.4535 4.05506 28
6.77034 20.3999 4.04839 37
6.82478 20.3735 4.04691 22
6.87135 20.3122 4.03877 1
7.59234 22.226 4.42377 16
7.66599 22.0385 4.39489 10
7.71694 21.9624 4.38453 43
7.77573 21.9458 4.38527 37
7.84346 21.93 4.38675 12
7.90715 21.903 4.38601 19
7.96 21.8462 4.37934 3
8.01419 21.8054 4.37564 7
8.12533 21.9069 4.40081 0
17.8742 47.756 9.6042 13
17.8979 47.4154 9.54571 15
17.9405 47.1049 9.49388 17
17.9787 46.7873 9.44058 23
18.0681 46.6306 9.41911 49
18.2479 46.683 9.44058 31
